u,g,r,i,z,specClass,redshift,redshift_err
18.31537,17.03378,16.43044,16.07336,15.79528,GALAXY,0.05700612,7.189477e-06
19.5647,17.89683,16.79172,16.30632,15.94328,GALAXY,0.1526676,2.972606e-05
19.25199,19.00241,18.72587,18.55749,18.58451,QSO,1.448379,0.0004374473
19.30206,17.12601,16.01106,15.51805,15.05948,GALAXY,0.1056013,2.46357e-05
18.39921,17.21244,16.64964,16.36866,16.19744,GALAXY,0.03224167,4.205218e-05
18.88534,17.59909,17.28051,17.02808,16.99706,GALAXY,0.03089863,7.383926e-06
19.2007,17.25047,16.2208,15.77312,15.42725,GALAXY,0.1035511,1.293398e-05
19.16966,19.01889,18.72525,18.73109,18.79476,QSO,1.1626,0.0002670379
17.54281,16.461,15.98922,15.65942,15.44047,GALAXY,0.0526187,6.415451e-06
19.36684,19.33224,19.10791,18.75849,18.72759,QSO,0.2272165,4.391831e-05
19.43842,19.41204,19.4263,19.24289,19.23304,QSO,1.910561,0.0004726073
18.82689,17.20023,16.41123,16.00857,15.6708,GALAXY,0.03617485,8.885329e-06
18.14573,16.96264,16.43049,16.11459,15.89755,GALAXY,0.04464509,5.599266e-06
17.00955,15.25606,14.36861,13.92261,13.58806,GALAXY,0.05741537,1.126618e-05
18.47487,16.84893,15.99527,15.51061,15.15849,GALAXY,0.08682666,1.454445e-05
19.54778,17.62068,16.61984,16.16094,15.79022,GALAXY,0.0899999,2.352983e-05
19.24632,17.34238,16.36246,15.90574,15.53433,GALAXY,0.08750584,2.75747e-05
18.06034,16.84139,16.38079,16.15761,16.01487,GALAXY,0.05040419,1.374511e-05
18.08132,17.84118,17.38291,16.93484,17.07091,QSO,0.2069585,3.706944e-05
19.38855,17.40104,16.48235,16.07033,15.70809,GALAXY,0.04392764,1.371878e-05
18.9367,17.48061,16.47027,15.98576,15.64625,GALAXY,0.1835377,2.389607e-05
17.28569,15.84209,15.14465,14.73714,14.47628,GALAXY,0.03716302,9.207927e-06
19.04829,18.91077,18.72114,18.25641,18.29057,QSO,1.799599,0.0002715891
18.99891,17.69772,16.9427,16.53872,16.27149,GALAXY,0.1031471,1.608478e-05
